school,ranking,indegree,outdegree,in_to_out_ratio
"Massachusetts Institute of Technology",1,179.00,119.00,1.50
"University of California, Berkeley",2,125.00,79.00,1.58
"Stanford University",3,107.00,85.00,1.26
"Carnegie Mellon University",4,90.00,79.00,1.14
"University of Illinois Urbana-Champaign",5,87.00,70.00,1.24
"Georgia Tech",6,52.00,40.00,1.30
"Pennsylvania State University",7,24.00,9.00,2.67
"University of Texas at Austin",8,45.00,32.00,1.41
"University of Massachusetts Amherst",9,39.00,25.00,1.56
"Cornell University",10,50.00,35.00,1.43
"University of California, Los Angeles",11,38.00,29.00,1.31
"University of Maryland, College Park",12,45.00,51.00,0.88
"University of Wisconsin–Madison",13,36.00,23.00,1.57
"University of Washington",14,39.00,33.00,1.18
"University of California, Riverside",15,6.00,2.00,3.00
"University of Michigan",16,33.00,19.00,1.74
"University of Pennsylvania",17,49.00,52.00,0.94
"Delft University of Technology",18,3.00,1.00,3.00
"University of Southern California",19,39.00,36.00,1.08
"Princeton University",20,36.00,33.00,1.09
"Harvard University",21,33.00,32.00,1.03
"Purdue University",22,49.00,46.00,1.07
"College of William & Mary",23,6.00,1.00,6.00
"McGill University",24,6.00,2.00,3.00
"Brown University",25,33.00,31.00,1.06
"National Technical University of Athens",26,6.00,2.00,3.00
"Newcastle University",27,3.00,1.00,3.00
"University of North Carolina at Chapel Hill",28,31.00,30.00,1.03
"Stony Brook University",29,28.00,31.00,0.90
"University of Texas at San Antonio",30,3.00,1.00,3.00
"Rutgers University",31,20.00,18.00,1.11
"North Carolina State University",32,30.00,29.00,1.03
"Technical University of Kaiserslautern",33,3.00,1.00,3.00
"Ohio State University",34,22.00,9.00,2.44
"Columbia University",35,29.00,35.00,0.83
"University of California, San Diego",36,22.00,17.00,1.29
"University of Minnesota",37,24.00,31.00,0.77
"University of Utah",38,15.00,16.00,0.94
"Polytechnic University of Milan",39,3.00,1.00,3.00
"University of California, Irvine",40,29.00,38.00,0.76
"Rice University",41,17.00,12.00,1.42
"California Institute of Technology",42,19.00,23.00,0.83
"KU Leuven",43,5.00,3.00,1.67
"Portland State University",44,4.00,3.00,1.33
"University of Colorado Boulder",45,25.00,36.00,0.69
"University of Virginia",46,17.00,10.00,1.70
"Texas A&M University",47,13.00,9.00,1.44
"University of Toronto",48,13.00,7.00,1.86
"University of Waterloo",49,9.00,3.00,3.00
"University of Florida",50,14.00,17.00,0.82
"Northwestern University",51,17.00,20.00,0.85
"Michigan State University",52,10.00,16.00,0.62
"Seoul National University",53,2.00,1.00,2.00
"New York University",54,18.00,24.00,0.75
"Missouri University of Science and Technology",55,3.00,2.00,1.50
"Colorado School of Mines",56,2.00,1.00,2.00
"Johns Hopkins University",57,18.00,25.00,0.72
"Virginia Tech",58,14.00,12.00,1.17
"Kent State University",59,2.00,1.00,2.00
"Syracuse University",60,10.00,9.00,1.11
"Colgate University",61,2.00,1.00,2.00
"University of Tulsa",62,2.00,1.00,2.00
"Aalborg University",63,2.00,1.00,2.00
"KAIST",64,2.00,1.00,2.00
"Czech Technical University in Prague",65,2.00,1.00,2.00
"University of California, Santa Barbara",66,20.00,23.00,0.87
"Washington University in St. Louis",67,13.00,14.00,0.93
"University of South Dakota",68,2.00,1.00,2.00
"Simon Fraser University",69,3.00,2.00,1.50
"Arizona State University",70,16.00,19.00,0.84
"University of British Columbia",71,7.00,5.00,1.40
"University of Texas at Arlington",72,11.00,11.00,1.00
"University of Nebraska at Kearney",73,2.00,1.00,2.00
"Yale University",74,14.00,13.00,1.08
"Temple University",75,9.00,15.00,0.60
"Wayne State University",76,6.00,13.00,0.46
"Case Western Reserve University",77,8.00,11.00,0.73
"Kansas State University",78,6.00,5.00,1.20
"University of Pittsburgh",79,10.00,9.00,1.11
"Rensselaer Polytechnic Institute",80,9.00,14.00,0.64
"University of Illinois Chicago",81,10.00,18.00,0.56
"Duke University",82,12.00,23.00,0.52
"Air Force Institute of Technology",83,1.00,1.00,1.00
"University of Ottawa",84,1.00,1.00,1.00
"Binghamton University",85,1.00,1.00,1.00
