last_edu,next_edu,weight
Sharif University of Technology,University of Texas at Arlington,1
Sharif University of Technology,Massachusetts Institute of Technology,1
Sharif University of Technology,"University of California, Berkeley",2
Sharif University of Technology,Columbia University,1
Sharif University of Technology,Stanford University,1
Sharif University of Technology,University of Toronto,1
Sharif University of Technology,Sharif University of Technology,2
Sharif University of Technology,Dartmouth College,1
Sharif University of Technology,University of Alberta,1
Sharif University of Technology,Rice University,1
Sharif University of Technology,"University of California, Santa Barbara",1
Sharif University of Technology,Georgia Tech,1
Sharif University of Technology,École Polytechnique Fédérale de Lausanne,1
Sharif University of Technology,"University of California, Los Angeles",1
Sharif University of Technology,University of Southern California,1
University of Texas at Arlington,University of Michigan,1
University of Texas at Arlington,University of Texas at Arlington,6
Rutgers University,University of Pennsylvania,1
Rutgers University,Rutgers University,7
Rutgers University,University of Waterloo,1
Rutgers University,Case Western Reserve University,1
Rutgers University,IIT Madras,1
Rutgers University,Rice University,1
University of Maryland Global Campus,Kellogg School of Management,1
Allegheny College,University of Michigan,1
Allegheny College,University of Pittsburgh,2
University of Michigan,"University of California, Irvine",1
University of Michigan,University of Michigan,7
University of Michigan,Carnegie Mellon University,1
University of Michigan,Massachusetts Institute of Technology,1
University of Michigan,Eastern Michigan University,1
University of Michigan,Vanderbilt University,1
University of Michigan,Max Planck Institute for Informatics,1
University of Michigan,University of Washington,1
University of Michigan,Duke University School of Medicine,1
University of Michigan,University of Southern California,1
University of Michigan,University of Louisiana at Lafayette,1
University of Michigan,Colorado State University,1
Shanghai Jiao Tong University,"University of California, Berkeley",1
Shanghai Jiao Tong University,University of Utah,1
Shanghai Jiao Tong University,Shanghai Jiao Tong University,2
Shanghai Jiao Tong University,Texas A&M University,1
Shanghai Jiao Tong University,Purdue University,1
Shanghai Jiao Tong University,University of Georgia,1
Shanghai Jiao Tong University,Dartmouth College,1
Shanghai Jiao Tong University,Cornell University,1
Shanghai Jiao Tong University,National University of Singapore,1
Shanghai Jiao Tong University,University of Southern California,1
Shanghai Jiao Tong University,Carnegie Mellon University,1
Shanghai Jiao Tong University,West Virginia University,1
Shanghai Jiao Tong University,University of Michigan,1
North Park University,Northwestern University,2
Northwestern University,Northwestern University,5
Northwestern University,"University of California, Los Angeles",1
Northwestern University,University of Michigan,2
Northwestern University,Stephen Wolfram,1
Northwestern University,University of Virginia,1
Northwestern University,Carnegie Mellon University,1
Northwestern University,University of Illinois Urbana-Champaign,1
University of North Texas,University of North Texas,1
University of North Texas,Stanford University,1
Instituto Superior Técnico,Instituto Superior Técnico,2
University of Wisconsin–Madison,University of Wisconsin–Madison,7
University of Wisconsin–Madison,Georgia Tech,1
University of Wisconsin–Madison,Carnegie Mellon University,1
University of Wisconsin–Madison,University of Texas at Austin,1
University of Wisconsin–Madison,Boston University,1
University of Wisconsin–Madison,Brandeis University,1
University of Wisconsin–Madison,University of Pittsburgh,1
University of Wisconsin–Madison,Purdue University,1
University of Wisconsin–Madison,"University of California, Berkeley",1
University of Wisconsin–Madison,Stanford University,1
University of St. Thomas (Minnesota),University of Colorado Boulder,1
University of St. Thomas (Minnesota),IIT Delhi,1
University of St. Thomas (Minnesota),"University of California, Berkeley",1
University of St. Thomas (Minnesota),Georgia Tech,1
Indian Institute of Science,Harvard University,1
Indian Institute of Science,Purdue University,1
Indian Institute of Science,Newcastle University,1
Indian Institute of Science,"University of California, Berkeley",1
Indian Institute of Science,Massachusetts Institute of Technology,1
Indian Institute of Science,Indian Institute of Science,1
Indian Institute of Science,Stony Brook University,1
Indian Institute of Science,University of Illinois Urbana-Champaign,1
Indian Institute of Science,Georgia Tech,1
Indian Institute of Science,IIT Madras,1
Indian Institute of Science,Stanford University,1
Indian Institute of Science,University of North Carolina at Chapel Hill,1
Beihang University,Beihang University,2
Beihang University,Northwestern University,1
Beihang University,University of Texas at Austin,1
Beihang University,Carnegie Mellon University,1
Beihang University,Northeastern University,1
Beihang University,University of the Chinese Academy of Sciences,1
Iowa State University,Pennsylvania State University,2
Iowa State University,Iowa State University,3
Iowa State University,University of Minnesota,1
Iowa State University,University of Illinois Urbana-Champaign,1
Iowa State University,Purdue University,1
Stanford University,New York University,1
Stanford University,Stony Brook University,1
Stanford University,"University of California, Berkeley",8
Stanford University,Stanford University,25
Stanford University,Cornell University,1
Stanford University,Massachusetts Institute of Technology,13
Stanford University,University of Pennsylvania,1
Stanford University,University of Erlangen–Nuremberg,1
Stanford University,University of the Western Cape,1
Stanford University,Stanford Graduate School of Business,3
Stanford University,University of Edinburgh,2
Stanford University,California Institute of Technology,1
Stanford University,University of Illinois Urbana-Champaign,1
Stanford University,Harvard University,1
Stanford University,"University of California, San Diego",1
Middlebury College,Massachusetts Institute of Technology,1
Middlebury College,University of Colorado Boulder,1
Georgia Tech,Texas A&M University,1
Georgia Tech,Georgia Tech,11
Georgia Tech,University of Michigan,1
Georgia Tech,University of Southern California,1
Georgia Tech,University of Wisconsin–Madison,1
Georgia Tech,University of Texas at Austin,1
Georgia Tech,University of Pennsylvania,1
Georgia Tech,Vanderbilt University,1
Georgia Tech,University of Florida,1
Georgia Tech,North Carolina State University,1
Georgia Tech,University of North Carolina at Chapel Hill,3
Georgia Tech,Princeton University,1
Georgia Tech,"University of California, Berkeley",1
Georgia Tech,Stanford University,1
University of Electronic Science and Technology of China,University of North Carolina at Charlotte,1
University of Electronic Science and Technology of China,Ohio State University,1
Tulane University,Brown University,3
Tulane University,Michigan State University,1
Tulane University,Texas A&M University,1
Tongji University,University of Missouri,1
Tongji University,"University of Maryland, College Park",1
Tongji University,University of Waterloo,1
University of Missouri,University of Missouri,1
University of Missouri,University of Texas at Austin,1
University of Missouri,University of Wisconsin–Madison,1
University of Missouri,Purdue University,1
University of Nebraska–Lincoln,Washington University in St. Louis,1
University of Nebraska–Lincoln,University of Nebraska–Lincoln,9
University of Nebraska–Lincoln,University of Illinois Chicago,1
University of Nebraska–Lincoln,Air Force Institute of Technology,1
Washington University in St. Louis,College of William & Mary,1
Washington University in St. Louis,University of Colorado Boulder,1
Washington University in St. Louis,Brown University,1
Washington University in St. Louis,Cornell University,1
Washington University in St. Louis,California Institute of Technology,1
Washington University in St. Louis,"University of California, Los Angeles",1
Washington University in St. Louis,University of Pittsburgh,1
Monterrey Institute of Technology and Higher Education,Kansas State University,1
Monterrey Institute of Technology and Higher Education,Monterrey Institute of Technology and Higher Education,1
Monterrey Institute of Technology and Higher Education,Purdue University,1
IIT Delhi,Pennsylvania State University,1
IIT Delhi,Cornell University,2
IIT Delhi,"University of California, Santa Barbara",1
IIT Delhi,Stanford University,1
IIT Delhi,"University of California, Los Angeles",2
IIT Delhi,Massachusetts Institute of Technology,2
IIT Delhi,Vanderbilt University,1
IIT Delhi,Stony Brook University,1
IIT Delhi,University of Texas at Austin,2
IIT Delhi,"University of California, Berkeley",1
IIT Delhi,University of Washington,1
IIT Delhi,Syracuse University,1
IIT Delhi,Carnegie Mellon University,1
IIT Delhi,University of North Carolina at Chapel Hill,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,58
Massachusetts Institute of Technology,"University of California, Berkeley",9
Massachusetts Institute of Technology,Stanford University,5
Massachusetts Institute of Technology,University of Washington,3
Massachusetts Institute of Technology,"University of California, Los Angeles",1
Massachusetts Institute of Technology,Columbia University,1
Massachusetts Institute of Technology,Carnegie Mellon University,2
Massachusetts Institute of Technology,Northwestern University,1
Massachusetts Institute of Technology,"University of California, Davis",1
Massachusetts Institute of Technology,University of Illinois Urbana-Champaign,1
Massachusetts Institute of Technology,Polytechnic University of Turin,1
Massachusetts Institute of Technology,University of Cambridge,1
Massachusetts Institute of Technology,Harvard Medical School,2
Massachusetts Institute of Technology,MIT Sloan School of Management,1
Massachusetts Institute of Technology,Harvard–MIT Program in Health Sciences and Technology,1
Massachusetts Institute of Technology,Ohio State University,1
Massachusetts Institute of Technology,Johns Hopkins School of Medicine,1
Massachusetts Institute of Technology,École Polytechnique Fédérale de Lausanne,1
Massachusetts Institute of Technology,Princeton University,1
Massachusetts Institute of Technology,"University of California, San Diego",1
Massachusetts Institute of Technology,U.S. Air Force Test Pilot School,1
Massachusetts Institute of Technology,University of Chicago,1
Massachusetts Institute of Technology,Woods Hole Oceanographic Institution,1
Worcester Polytechnic Institute,Brown University,1
Zhejiang University,University of Southern California,2
Zhejiang University,Carnegie Mellon University,3
Zhejiang University,Arizona State University,1
Zhejiang University,Stony Brook University,1
Zhejiang University,Hong Kong University of Science and Technology,1
Zhejiang University,University of Illinois Urbana-Champaign,1
Zhejiang University,Chinese University of Hong Kong,1
Zhejiang University,"University of Maryland, College Park",1
Zhejiang University,"University of California, Los Angeles",1
Zhejiang University,University of Alberta,1
Zhejiang University,"University of California, Santa Cruz",1
Jagiellonian University,Jagiellonian University,1
Jagiellonian University,University of Helsinki,1
Moscow State University,Hebrew University of Jerusalem,1
Moscow State University,Princeton University,2
Tsinghua University,Cornell University,2
Tsinghua University,Tsinghua University,15
Tsinghua University,Massachusetts Institute of Technology,3
Tsinghua University,Arizona State University,1
Tsinghua University,University of Illinois Urbana-Champaign,5
Tsinghua University,"University of California, Los Angeles",2
Tsinghua University,Stanford University,4
Tsinghua University,Yale University,1
Tsinghua University,"University of California, Berkeley",2
Tsinghua University,University of Texas at Austin,3
Tsinghua University,Northwestern University,1
Tsinghua University,Chinese University of Hong Kong,1
Tsinghua University,Princeton University,1
Tsinghua University,University of Massachusetts Amherst,1
Tsinghua University,Peking University,1
Tsinghua University,Rice University,3
Tsinghua University,Washington State University,1
Tsinghua University,Purdue University,3
Tsinghua University,Carnegie Mellon University,3
Tsinghua University,University of Waterloo,1
Tsinghua University,University of Michigan,2
Tsinghua University,University of Southern California,1
Tsinghua University,University of Toronto,1
Tsinghua University,University of Florida,1
Tsinghua University,Pennsylvania State University,1
Tsinghua University,Hong Kong University of Science and Technology,1
Tsinghua University,Johns Hopkins University,1
Tsinghua University,Duke University,1
Cornell University,Cornell University,7
Cornell University,Massachusetts Institute of Technology,2
Cornell University,University of Washington,2
Cornell University,Georgia Tech,1
Cornell University,"University of California, Berkeley",4
Cornell University,University at Buffalo,1
Cornell University,University of Utah,1
Cornell University,University of Illinois Urbana-Champaign,2
Cornell University,University of Oxford,1
Cornell University,Harvard University,2
Cornell University,University of North Carolina at Chapel Hill,2
Cornell University,Carnegie Mellon University,1
Cornell University,Stanford University,3
Cornell University,United States Navy Strike Fighter Tactics Instructor program,1
Cornell University,New York University,2
Cornell University,Princeton University,1
Cornell University,University of Texas at Austin,1
Cornell University,Yale University,1
Cornell University,University of Pennsylvania,1
University of Ulm,Ohio State University,1
Ohio State University,Ohio State University,1
Ohio State University,Colorado State University,1
Ohio State University,"University of California, Berkeley",1
Chennai Mathematical Institute,École normale supérieure (Paris),1
École normale supérieure (Paris),National University of Singapore,1
École normale supérieure (Paris),École Polytechnique,1
École normale supérieure (Paris),University of Paris,1
University of Massachusetts Amherst,University of Michigan,1
University of Massachusetts Amherst,Princeton University,1
University of Massachusetts Amherst,University of Massachusetts Amherst,3
University of Massachusetts Amherst,Wang Institute of Graduate Studies,1
University of Massachusetts Amherst,Brandeis University,1
University of Massachusetts Amherst,"University of California, Los Angeles",1
University of Massachusetts Amherst,Virginia Tech,1
IIT Madras,Stony Brook University,1
IIT Madras,University of Texas at Austin,3
IIT Madras,University of Southern California,1
IIT Madras,Carnegie Mellon University,6
IIT Madras,Massachusetts Institute of Technology,3
IIT Madras,"University of California, Berkeley",2
IIT Madras,Brown University,1
IIT Madras,University of Florida,2
IIT Madras,Princeton University,1
IIT Madras,Cornell University,3
IIT Madras,"University at Albany, SUNY",1
IIT Madras,Pennsylvania State University,1
IIT Madras,Stanford University,1
IIT Madras,University of Illinois Urbana-Champaign,1
IIT Madras,IIT Madras,1
IIT Madras,Purdue University,1
IIT Madras,University of North Carolina at Chapel Hill,1
IIT Madras,"University of California, Davis",1
IIT Madras,University of Ottawa,1
IIT Madras,Vanderbilt University,1
University of Virginia,University of Illinois Urbana-Champaign,1
University of Virginia,University of Cambridge,1
University of Virginia,University of Virginia,2
University of Virginia,Rutgers University–Newark,1
University of Virginia,Stanford University,1
University of Virginia,College of William & Mary,1
University of Virginia,London School of Economics,1
University of Virginia,University of Massachusetts Dartmouth,1
University of Virginia,University of Washington,1
University of Virginia,University of North Carolina at Chapel Hill,1
University of Virginia,"University of California, Berkeley",1
University of Virginia,Georgetown University,1
Olin College,"University of California, Los Angeles",1
Olin College,Brown University,1
Olin College,Carnegie Mellon University,1
University of Rochester,Hofstra University,1
University of Rochester,Carnegie Mellon University,1
University of Rochester,Massachusetts Institute of Technology,2
University of Rochester,Columbia University,1
University of Rochester,Iowa State University,1
Hofstra University,University of Virginia,1
not found,Jawaharlal Nehru University,1
Jawaharlal Nehru University,University of Texas at Arlington,1
Peking University,"University of California, Santa Barbara",2
Peking University,Carnegie Mellon University,1
Peking University,"University of California, Los Angeles",2
Peking University,University of Illinois Urbana-Champaign,1
Peking University,Yale University,1
Peking University,Peking University,2
Peking University,"University of California, San Diego",1
Peking University,Princeton University,1
Peking University,Massachusetts Institute of Technology,1
Peking University,Pennsylvania State University,1
Peking University,"University of Maryland, College Park",1
Peking University,California Institute of Technology,1
Peking University,University of Southern California,1
Carnegie Mellon University,Stanford University,3
Carnegie Mellon University,University of Illinois Urbana-Champaign,1
Carnegie Mellon University,Rice University,2
Carnegie Mellon University,Carnegie Mellon University,23
Carnegie Mellon University,Massachusetts Institute of Technology,2
Carnegie Mellon University,"University of Maryland, College Park",2
Carnegie Mellon University,Johns Hopkins University,1
Carnegie Mellon University,Eindhoven University of Technology,1
Carnegie Mellon University,Rensselaer Polytechnic Institute,1
Carnegie Mellon University,Texas A&M University,1
Carnegie Mellon University,Georgia Tech,1
Carnegie Mellon University,Cornell University,3
Carnegie Mellon University,"University of California, Berkeley",4
Carnegie Mellon University,Columbia University,1
Carnegie Mellon University,Brown University,1
Carnegie Mellon University,Lehigh University,1
Pratt Institute,Pratt Institute,1
Pratt Institute,Stony Brook University,1
East China Normal University,University of Illinois Chicago,1
East China Normal University,"University of California, Merced",1
East China Normal University,Ohio State University,1
University of Illinois Chicago,"University of California, Los Angeles",1
University of Illinois Chicago,University of Illinois Urbana-Champaign,2
University of Illinois Chicago,"University of California, Santa Barbara",1
University of Illinois Chicago,University of Illinois Chicago,1
University of Illinois Chicago,Harvard Business School,1
Sabancı University,Stony Brook University,1
IIT Kharagpur,"University of Maryland, College Park",2
IIT Kharagpur,"University of California, Berkeley",2
IIT Kharagpur,Stanford University,4
IIT Kharagpur,University of Alabama,1
IIT Kharagpur,IIT Bombay,1
IIT Kharagpur,University of Michigan,1
IIT Kharagpur,Pennsylvania State University,1
IIT Kharagpur,IIT Kharagpur,1
IIT Kharagpur,California Institute of Technology,1
IIT Kharagpur,University of Illinois Urbana-Champaign,1
IIT Kharagpur,"University of California, Irvine",2
IIT Kharagpur,University of Utah,1
IIT Kharagpur,University of Southampton,1
IIT Kharagpur,Carnegie Mellon University,1
Middle East Technical University,Stony Brook University,1
Middle East Technical University,Ohio State University,1
Middle East Technical University,Princeton University,1
Middle East Technical University,Middle East Technical University,2
Middle East Technical University,Georgia Tech,2
Middle East Technical University,Bilkent University,1
Waseda University,"University of California, Los Angeles",1
"University of California, Los Angeles",University of Tsukuba,1
"University of California, Los Angeles",Cornell University,1
"University of California, Los Angeles","California State University, Northridge",2
"University of California, Los Angeles",Brown University,1
"University of California, Los Angeles",University of Massachusetts Amherst,1
"University of California, Los Angeles","University of California, Los Angeles",6
"University of California, Los Angeles",Stanford University,1
"University of California, Los Angeles",Massachusetts Institute of Technology,1
"University of California, Los Angeles",University of Michigan,1
"University of California, Los Angeles",Georgia Tech,1
"University of California, Los Angeles",California Institute of Technology,1
"University of California, Los Angeles",Harvard University,1
"University of California, Los Angeles","University of California, Berkeley",2
"University of California, Los Angeles","University of California, Santa Barbara",1
University of Wisconsin–Oshkosh,Washington University in St. Louis,1
IIT Kanpur,University of Massachusetts Amherst,2
IIT Kanpur,"University of California, Berkeley",5
IIT Kanpur,Northwestern University,1
IIT Kanpur,Cornell University,2
IIT Kanpur,University of Texas at Austin,3
IIT Kanpur,University of Minnesota,1
IIT Kanpur,Boston University,1
IIT Kanpur,University of Illinois Urbana-Champaign,2
IIT Kanpur,Stanford University,2
IIT Kanpur,Ohio State University,1
IIT Kanpur,University of Pennsylvania,2
IIT Kanpur,Stony Brook University,1
IIT Kanpur,Carnegie Mellon University,2
IIT Kanpur,Iowa State University,1
IIT Kanpur,University of Southern California,1
IIT Kanpur,University of Wisconsin–Madison,2
Singapore University of Technology and Design,Oregon State University,1
University of Waterloo,University of Southern California,2
University of Waterloo,University of Waterloo,5
University of Waterloo,"University of California, Berkeley",3
University of Waterloo,Carnegie Mellon University,3
University of Waterloo,Massachusetts Institute of Technology,1
University of Waterloo,Fordham Graduate School of Arts and Sciences,1
