last_edu,first_work,weight
"University of Maryland, College Park",Princeton University,1
"University of Maryland, College Park","University of California, Berkeley",1
"University of Maryland, College Park",Johns Hopkins University,1
"University of Maryland, College Park",Northwestern University,1
"University of Maryland, College Park","University of California, Irvine",1
"University of Maryland, College Park","University of Maryland, College Park",1
"University of Maryland, College Park",Harvard University,1
"University of Maryland, College Park",Carnegie Mellon University,1
"University of Maryland, College Park",A. James Clark School of Engineering,1
"University of Maryland, College Park",University of Florida,1
"University of Maryland, College Park",Massachusetts Institute of Technology,1
"University of Maryland, College Park",Virginia Tech,1
"University of California, Irvine","University of California, Irvine",2
Georgia Tech,Georgia Tech,3
Georgia Tech,University of Michigan,1
Georgia Tech,University of Illinois Urbana-Champaign,1
Georgia Tech,North Carolina State University,1
National Defense University,University of Illinois Urbana-Champaign,1
Rice University,Rice University,2
Johns Hopkins University,Johns Hopkins University,1
University of Wisconsin–Madison,University of Illinois Urbana-Champaign,1
University of Wisconsin–Madison,University of Wisconsin–Madison,1
California Institute of Technology,Cornell University,1
California Institute of Technology,"University of California, San Diego",1
California Institute of Technology,University of Illinois Urbana-Champaign,1
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,3
Carnegie Mellon University,Carnegie Mellon University,4
Carnegie Mellon University,City University of New York,1
Carnegie Mellon University,Beijing University of Posts and Telecommunications,1
Carnegie Mellon University,National University of Singapore,1
Columbia University,Columbia University,1
Columbia University,University of Washington,1
Columbia University,University of Utah,1
Columbia University,"University of Maryland, College Park",1
North Carolina A&T State University,University of Texas at Arlington,1
RWTH Aachen University,University of Washington,1
"University of California, San Diego",University of Iowa,1
"University of California, San Diego","University of California, San Diego",1
University of Colorado Boulder,University of Colorado Boulder,3
University of Colorado Boulder,"University of California, Berkeley",2
University of Colorado Boulder,Harvard T.H. Chan School of Public Health,1
University of Colorado Boulder,Princeton University,1
University of Colorado Boulder,University of Texas at Austin,2
University of Colorado Boulder,"University of California, Irvine",1
University of Colorado Boulder,University of Edinburgh,1
University of Colorado Boulder,Yale University,1
New York University,Technion – Israel Institute of Technology,1
New York University,Yale University,2
New York University,New York University,1
New York University,University of Wisconsin–Madison,1
New York University,Massachusetts Institute of Technology,1
New York University,"University of California, Berkeley",1
New York University,Columbia University,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Massachusetts Institute of Technology,University of Utah,1
Massachusetts Institute of Technology,Carnegie Mellon University,1
Massachusetts Institute of Technology,"University of California, Los Angeles",1
Massachusetts Institute of Technology,New York University,1
University of Pittsburgh,University of Virginia,1
University of Pittsburgh,University of Pittsburgh,1
University of Pittsburgh,"University of Maryland, College Park",1
Pennsylvania State University,Pennsylvania State University,1
University of Rochester,University at Buffalo,1
Texas A&M University,University of Texas at Austin,1
Texas A&M University,Texas A&M University,1
University of Bari,University of Bari,1
IIT Kanpur,IIT Kanpur,1
University of Minnesota,University of Minnesota,3
University of Minnesota,University of Illinois Urbana-Champaign,1
Full Sail University,Valencia College,1
Colorado State University,"University of California, Santa Cruz",1
University of Florida,"University of California, Santa Barbara",1
University of Florida,Johns Hopkins University,1
University of Florida,University of Wisconsin–Madison,1
University of Florida,University of Minnesota,1
University of Florida,University of Virginia,1
University of Florida,Fordham Graduate School of Arts and Sciences,1
University of North Carolina at Charlotte,University of North Carolina at Chapel Hill,1
University of North Carolina at Charlotte,University of North Carolina at Charlotte,1
Syracuse University,University of Minnesota,1
Syracuse University,Cornell University,1
University of Pennsylvania,University of Pennsylvania,1
University of Nebraska–Lincoln,University of Idaho,1
Bridgewater College,College of William & Mary,1
KAIST,KAIST,1
Purdue University,Purdue University,2
Virginia Tech,"University at Albany, SUNY",1
University of Virginia,Princeton University,1
Harvard University,University of Southern California,1
Harvard University,ETH Zurich,1
Durham University,"University of California, Berkeley",1
University of Waterloo,University of Waterloo,1
École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,1
Hong Kong University of Science and Technology,Chinese University of Hong Kong,1
"University of California, Santa Barbara",Stony Brook University,1
"University of California, Santa Barbara","University of Maryland, College Park",1
"University of California, Santa Barbara",University of Oxford,1
"University of California, Santa Barbara",University of Southern California,1
"University of California, Santa Barbara","University of California, Santa Barbara",1
"University of California, Santa Barbara","University of California, Davis",1
