head_node,tail_node,weight
Sharif University of Technology,University of Texas at Arlington,1
Sharif University of Technology,Massachusetts Institute of Technology,1
Sharif University of Technology,"University of California, Berkeley",2
Sharif University of Technology,Columbia University,1
Sharif University of Technology,Stanford University,1
Sharif University of Technology,University of Toronto,1
Sharif University of Technology,Sharif University of Technology,1
Sharif University of Technology,Dartmouth College,1
Sharif University of Technology,University of Alberta,1
Sharif University of Technology,Rice University,1
Sharif University of Technology,"University of California, Santa Barbara",1
University of Texas at Arlington,University of Michigan,1
University of Texas at Arlington,University of Texas at Arlington,4
University of Texas at Arlington,Stony Brook University,1
University of Texas at Arlington,Brown University,1
University of Texas at Arlington,Texas Woman's University,1
University of Texas at Arlington,Pohang University of Science and Technology,1
University of Texas at Arlington,Northwestern University,1
University of Texas at Arlington,Washington State University,1
University of Illinois Chicago,University of Michigan,2
University of Illinois Chicago,University of Illinois Chicago,3
University of Illinois Chicago,Kellogg School of Management,1
University of Illinois Chicago,"University of California, Berkeley",1
University of Illinois Chicago,Northwestern University,1
University of Illinois Chicago,Harvard University,1
University of Illinois Chicago,Purdue University,1
University of Illinois Chicago,New York University,1
University of Illinois Chicago,"University of California, Los Angeles",1
University of Illinois Chicago,University of Pennsylvania,1
University of Illinois Chicago,Lehigh University,1
Rutgers University,University of Pennsylvania,4
Rutgers University,Rutgers University,10
Rutgers University,City University of New York,1
Rutgers University,Purdue University,1
Rutgers University,University at Buffalo,1
Rutgers University,Mälardalen University College,1
Rutgers University,"University of California, San Diego",1
Rutgers University,Stanford University,1
Rutgers University,Cornell University,1
Rutgers University,University of Florida,1
Rutgers University,Bar-Ilan University,1
Rutgers University,Lehigh University,1
Rutgers University,University of Chicago,1
Rutgers University,Princeton University,1
Rutgers University,LAB University of Applied Sciences,1
Rutgers University,"University of Maryland, College Park",1
Rutgers University,Washington University in St. Louis,1
Rutgers University,Sungkyunkwan University,1
Rutgers University,Brown University,1
University of Pittsburgh,University of Pennsylvania,1
University of Pittsburgh,University of Illinois Chicago,1
University of Pittsburgh,University of Virginia,1
University of Pittsburgh,Northwestern University,1
University of Pittsburgh,Yonsei University,1
University of Pittsburgh,"University of Maryland, College Park",1
University of Pittsburgh,University of Pittsburgh,2
University of Pittsburgh,University of Massachusetts Amherst,1
University of Pittsburgh,Carnegie Mellon University,1
University of Pittsburgh,Duke University,2
University of Pittsburgh,University of Southern California,1
University of Pittsburgh,"University of California, Los Angeles",1
University of Pittsburgh,Texas A&M University,1
University of Pittsburgh,Technical University of Košice,1
University of Maryland Global Campus,Kellogg School of Management,1
Allegheny College,University of Michigan,1
Allegheny College,University of Pittsburgh,2
University of Michigan,"University of California, Irvine",4
University of Michigan,University of Michigan,12
University of Michigan,Virginia Tech,1
University of Michigan,Sungkyunkwan University,1
University of Michigan,Carnegie Mellon University,2
University of Michigan,Columbia University,1
University of Michigan,Yale University,1
University of Michigan,University of Delaware,1
University of Michigan,Massachusetts Institute of Technology,1
University of Michigan,University of Texas at Austin,1
University of Michigan,Eastern Michigan University,1
University of Michigan,Stanford University,2
University of Michigan,University of Virginia,1
University of Michigan,Vanderbilt University,2
University of Michigan,University of Illinois Urbana-Champaign,1
University of Michigan,University of Pennsylvania,1
University of Michigan,Max Planck Institute for Informatics,1
University of Michigan,University of Washington,1
Lake Forest College,"University of California, Irvine",2
"University of California, Irvine",Loyola University Chicago,1
"University of California, Irvine",Stony Brook University,1
"University of California, Irvine","University of California, Irvine",14
"University of California, Irvine","University of California, Los Angeles",1
"University of California, Irvine",Massachusetts Institute of Technology,5
"University of California, Irvine",Cornell University,2
"University of California, Irvine",Sungkyunkwan University,1
"University of California, Irvine","University of California, San Diego",1
"University of California, Irvine",Johns Hopkins University,1
"University of California, Irvine",University of Notre Dame,1
"University of California, Irvine","University of Maryland, College Park",1
"University of California, Irvine",Georgia Tech,1
"University of California, Irvine",Argosy University,1
"University of California, Irvine",University of Washington,1
"University of California, Irvine",Drexel University,1
"University of California, Irvine",University College London,1
"University of California, Irvine",American University,2
"University of California, Irvine",University of Minnesota,1
"University of California, Irvine",California Institute of Technology,2
"University of California, Irvine",University,1
"University of California, Irvine",University of Central Florida,1
"University of California, Irvine",Stanford University School of Medicine,1
"University of California, Irvine",University of the Amazon,1
"University of California, Irvine","University of California, Santa Barbara",1
Loyola University Chicago,University of Illinois Chicago,1
Shanghai Jiao Tong University,"University of California, Berkeley",1
Shanghai Jiao Tong University,Shanghai Jiao Tong University,2
Shanghai Jiao Tong University,University of Nebraska–Lincoln,1
Shanghai Jiao Tong University,University of Utah,1
Shanghai Jiao Tong University,Texas A&M University,1
Shanghai Jiao Tong University,Purdue University,1
Shanghai Jiao Tong University,University of Georgia,1
Shanghai Jiao Tong University,Dartmouth College,3
Shanghai Jiao Tong University,Cornell University,1
North Park University,Northwestern University,1
Northwestern University,Northwestern University,11
Northwestern University,University of Illinois Chicago,1
Northwestern University,University of Washington,1
Northwestern University,Georgia Tech,2
Northwestern University,"University of California, Los Angeles",1
Northwestern University,University of Michigan,2
Northwestern University,University,1
Northwestern University,Northwestern Health Sciences University,1
Northwestern University,Massachusetts Institute of Technology,1
Northwestern University,Carnegie Mellon University,4
Northwestern University,Stephen Wolfram,1
Northwestern University,University of Illinois Urbana-Champaign,1
Northwestern University,Illinois Institute of Technology,1
Northwestern University,Kellogg School of Management,1
Northwestern University,Princeton University,1
Northwestern University,Tsinghua University,1
Northwestern University,"University of California, Berkeley School of Information",1
Northwestern University,University of Minnesota,1
Northwestern University,"University of California, Santa Barbara",1
Northwestern University,University of Virginia,2
Northwestern University,Northeastern University,1
Northwestern University,University of Texas at Austin,1
Northwestern University,ETH Zurich,1
Northwestern University,University of Pennsylvania,1
Northwestern University,Rutgers University,1
Northwestern University,University of Massachusetts Dartmouth,1
Northwestern University,Vanderbilt University,1
Northwestern University,North Carolina State University,1
Northwestern University,"University of California, Berkeley",1
Northwestern University,"University of California, Irvine",1
University of North Texas,University of North Texas,3
University of North Texas,University of Illinois Chicago,1
University of North Texas,Pennsylvania State University,2
University of North Texas,Kansas State University,2
University of North Texas,Stanford University,1
Instituto Superior Técnico,Instituto Superior Técnico,2
"University of Maryland, College Park",Instituto Superior Técnico,1
"University of Maryland, College Park","University of Maryland, College Park",13
"University of Maryland, College Park",Imperial College London,1
"University of Maryland, College Park",Purdue University,1
"University of Maryland, College Park",Massachusetts Institute of Technology,3
"University of Maryland, College Park",McGill University,1
"University of Maryland, College Park",University of Memphis,1
"University of Maryland, College Park",University of Southern California,1
"University of Maryland, College Park",Northwestern University,4
"University of Maryland, College Park",Cornell University,2
"University of Maryland, College Park",Georgia Tech,1
"University of Maryland, College Park",Syracuse University,1
"University of Maryland, College Park",University,1
"University of Maryland, College Park","University of California, Berkeley",4
"University of Maryland, College Park",Stanford University,1
"University of Maryland, College Park",Johns Hopkins University,4
"University of Maryland, College Park",Vassar College,1
"University of Maryland, College Park",Yale University,1
"University of Maryland, College Park",Tufts University,2
"University of Maryland, College Park",University of Chicago,1
"University of Maryland, College Park",Princeton University,2
"University of Maryland, College Park",University of Colorado Boulder,1
"University of Maryland, College Park",Florida Atlantic University,1
"University of Maryland, College Park","University of California, Irvine",1
"University of Maryland, College Park",Harvard University,1
"University of Maryland, College Park",Carnegie Mellon University,1
"University of Maryland, College Park",A. James Clark School of Engineering,1
"University of Maryland, College Park",University of Florida,1
"University of Maryland, College Park",Rutgers University,1
"University of Maryland, College Park",University of Pennsylvania,1
"University of Maryland, College Park",Duke University,1
"University of Maryland, College Park",University at Buffalo,1
Imperial College London,George Mason University,1
Imperial College London,University of Pennsylvania,1
Imperial College London,Imperial College London,1
Imperial College London,Clemson University,1
Imperial College London,University of Massachusetts Amherst,1
George Mason University,University of Illinois Chicago,1
George Mason University,Chuo University,1
George Mason University,Carroll School of Management,1
George Mason University,Boston College,1
University of Wisconsin–Madison,University of Wisconsin–Madison,16
University of Wisconsin–Madison,University of the Amazon,1
University of Wisconsin–Madison,"University of California, Berkeley",6
University of Wisconsin–Madison,"University of California, Los Angeles",1
University of Wisconsin–Madison,Georgia Tech,4
University of Wisconsin–Madison,Carnegie Mellon University,2
University of Wisconsin–Madison,Yale University,1
University of Wisconsin–Madison,University of Pittsburgh,4
University of Wisconsin–Madison,University of Colorado Boulder,4
University of Wisconsin–Madison,University of Texas at Austin,2
University of Wisconsin–Madison,University of Chicago,2
University of Wisconsin–Madison,University of Illinois Urbana-Champaign,3
University of Wisconsin–Madison,Boston University,1
University of Wisconsin–Madison,Stanford University,1
University of Wisconsin–Madison,Rutgers University,2
University of Wisconsin–Madison,University of Texas at Arlington,1
University of Wisconsin–Madison,Brandeis University,1
University of Wisconsin–Madison,Indiana University Bloomington,1
University of Wisconsin–Madison,"University of California, Irvine",2
University of the Amazon,University of Illinois Chicago,1
University of the Amazon,University of Iowa,1
University of the Amazon,Columbia University,1
University of the Amazon,Vrije Universiteit Amsterdam,1
University of the Amazon,Cornell University,1
University of the Amazon,University of the Amazon,1
University of the Amazon,"University of California, Berkeley",1
University of the Amazon,Horace H. Rackham School of Graduate Studies,1
University of the Amazon,University of Illinois Urbana-Champaign,1
University of the Amazon,Syracuse University,1
University of the Amazon,"University of California, Irvine",1
University of St. Thomas (Minnesota),University of Colorado Boulder,1
University of St. Thomas (Minnesota),IIT Delhi,1
University of St. Thomas (Minnesota),"University of California, Berkeley",1
Fairfield University,University of Colorado Boulder,1
Fairfield University,Brown University,1
Brown University,Montana State University,1
Brown University,Brown University,22
Brown University,Swarthmore College,1
Brown University,University of North Carolina at Chapel Hill,1
Brown University,Harvard University,2
Brown University,University of Pennsylvania,1
Brown University,Georgia Tech,2
Brown University,Massachusetts Institute of Technology,9
Brown University,National Technical University of Athens,1
Brown University,"University of California, Berkeley",3
Brown University,University of Washington,1
Brown University,University of Chicago,1
Brown University,University of Colorado Boulder,2
Brown University,Carnegie Mellon University,2
Brown University,Stanford University,2
Brown University,University of Illinois Urbana-Champaign,3
Brown University,"University of California, Irvine",2
Brown University,"University of Maryland, College Park",1
Brown University,Rice University,1
Brown University,Cornell University,1
Brown University,American University,1
Brown University,List of state and territorial universities in the United States,1
Brown University,University of Southern California,1
Brown University,Technical University of Dortmund,1
Brown University,New York University,2
Brown University,Yale University,1
Brown University,University of Central Florida,1
Brown University,Western New England University,1
Brown University,Clemson University,1
Brown University,International university,1
Brown University,Amherst College,1
Brown University,Universidad Nacional del Sur,1
Brown University,"University of California, San Diego",1
Brown University,University of the Amazon,1
Brown University,Muskingum University,1
Brown University,Hebrew University of Jerusalem,1
Brown University,Alexandru Ioan Cuza University,1
Brown University,Bennington College,1
Montana State University,Saint Mary's College of California,1
Saint Mary's College of California,University of Illinois Chicago,1
Saint Mary's College of California,University of Southern California,1
Indian Institute of Science,Harvard University,1
Indian Institute of Science,Purdue University,1
Indian Institute of Science,University of Massachusetts Amherst,2
Indian Institute of Science,SRM Institute of Science and Technology,2
Indian Institute of Science,Newcastle University,1
Indian Institute of Science,"University of California, Berkeley",1
Indian Institute of Science,Massachusetts Institute of Technology,1
Indian Institute of Science,Indian Institute of Science,1
Indian Institute of Science,Stony Brook University,1
Indian Institute of Science,California Institute of Technology,1
Indian Institute of Science,University of Southern California,1
Beihang University,Beihang University,2
Beihang University,Northwestern University,3
Beihang University,University of Texas at Austin,1
Beihang University,Carnegie Mellon University,1
Beihang University,Northeastern University,3
University of Chicago,New York University,1
University of Chicago,University of Illinois Chicago,2
University of Chicago,Purdue University,1
University of Chicago,Northwestern University,2
University of Chicago,Yale University,1
University of Chicago,Columbia University,1
University of Chicago,Carnegie Mellon University,2
University of Chicago,University of Wisconsin–Madison,3
University of Chicago,Victoria University of Wellington,1
University of Chicago,University of Chicago,2
University of Chicago,School of the Art Institute of Chicago,1
University of Chicago,University of Utah,2
University of Chicago,Princeton University,2
University of Chicago,Technion – Israel Institute of Technology,1
University of Chicago,University of Iowa,1
University of Chicago,Massachusetts Institute of Technology,1
University of Chicago,Cornell University,2
University of Chicago,Northeastern University,1
University of Chicago,"University of California, Santa Barbara",1
University of Chicago,Monash University,1
University of Chicago,University of Illinois Urbana-Champaign,3
University of Chicago,University of Washington,1
University of Chicago,University of Virginia,1
Iowa State University,Pennsylvania State University,2
Iowa State University,University of Nebraska–Lincoln,1
Iowa State University,Stony Brook University,2
Iowa State University,Iowa State University,3
Iowa State University,Mount Mercy University,1
Iowa State University,University of Iowa,1
Iowa State University,University of Central Florida,1
Iowa State University,University of Minnesota,1
Iowa State University,Michigan State University,1
Iowa State University,University of Illinois Urbana-Champaign,2
Iowa State University,Massachusetts Institute of Technology,1
Kansas State University,University of Illinois Chicago,2
Kansas State University,Kansas State University,2
Kansas State University,Kennesaw State University,1
Kansas State University,Washington State University,1
Stanford University,New York University,3
Stanford University,California Institute of Technology,4
Stanford University,Stony Brook University,1
Stanford University,Purdue University,2
Stanford University,"University of California, Berkeley",23
Stanford University,University at Buffalo,1
Stanford University,Stanford University,49
Stanford University,Harvard University,6
Stanford University,Columbia University,5
Stanford University,Cornell University,7
Stanford University,London School of Economics,1
Stanford University,University of Texas at Austin,2
Stanford University,Massachusetts Institute of Technology,31
Stanford University,University of Pennsylvania,2
Stanford University,Washington University in St. Louis,1
Stanford University,George Mason University,1
Stanford University,McMaster University,1
Stanford University,Case Western Reserve University,1
Stanford University,University of Erlangen–Nuremberg,2
Stanford University,Johns Hopkins University,1
Stanford University,Boston University,1
Stanford University,Colorado School of Mines,1
Stanford University,University of Delaware,2
Stanford University,University of Waterloo,1
Stanford University,Carnegie Mellon University,7
Stanford University,University of the Western Cape,1
Stanford University,University of Chicago,1
Stanford University,"University of Maryland, College Park",2
Stanford University,École Polytechnique Fédérale de Lausanne,2
Stanford University,Weizmann Institute of Science,1
Stanford University,Stanford Graduate School of Business,2
Stanford University,University of Edinburgh,3
Stanford University,Wesleyan University,1
Stanford University,ITMO University,1
Stanford University,Capital University,2
Stanford University,National University of Singapore,1
Stanford University,Hachinohe Gakuin University,1
Stanford University,University,1
Stanford University,Keio University,1
Stanford University,University of Michigan,2
Stanford University,University of British Columbia,1
Stanford University,Rose–Hulman Institute of Technology,1
Stanford University,University of North Carolina at Chapel Hill,1
Stanford University,Stanford University School of Medicine,1
Stanford University,Ghent University,1
Stanford University,Pennsylvania State University,1
Stanford University,Duke University,3
Stanford University,Brandeis University,1
Stanford University,Princeton University,5
Stanford University,Vanderbilt University,2
Stanford University,University of Illinois Urbana-Champaign,2
Stanford University,Brown University,4
Stanford University,Max Planck Institute for Informatics,1
Stanford University,Delft University of Technology,1
Stanford University,University of Washington,3
Stanford University,University of Arizona,1
Stanford University,"University of California, Los Angeles",1
Stanford University,"University of California, Santa Barbara",1
University of Rochester,University at Buffalo,1
University of Rochester,École Polytechnique Fédérale de Lausanne,1
University of Rochester,Hofstra University,1
University of Rochester,Carnegie Mellon University,1
University of Rochester,Massachusetts Institute of Technology,2
University of Rochester,University of Utah,1
University of Rochester,Columbia University,1
University of Rochester,Duke University,1
University of Rochester,Hokkaido University,1
École Polytechnique Fédérale de Lausanne,University of Rochester,1
École Polytechnique Fédérale de Lausanne,University of Cambridge,1
École Polytechnique Fédérale de Lausanne,Harvard University,1
École Polytechnique Fédérale de Lausanne,Columbia University,1
École Polytechnique Fédérale de Lausanne,Northwestern University,1
École Polytechnique Fédérale de Lausanne,KU Leuven,2
École Polytechnique Fédérale de Lausanne,University of North Carolina at Chapel Hill,2
École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,6
École Polytechnique Fédérale de Lausanne,Yale University,1
École Polytechnique Fédérale de Lausanne,Carnegie Mellon University,1
École Polytechnique Fédérale de Lausanne,University,1
École Polytechnique Fédérale de Lausanne,Technical University of Munich,1
École Polytechnique Fédérale de Lausanne,Himachal Pradesh University,1
École Polytechnique Fédérale de Lausanne,Stanford University,1
Texas A&M University,University of Texas at Austin,2
Texas A&M University,Harvard University,1
Texas A&M University,University of Nebraska–Lincoln,1
Texas A&M University,University of Colorado Denver,1
Texas A&M University,University of Iowa,1
Texas A&M University,Texas A&M University,4
Texas A&M University,University of Florida,1
Texas A&M University,Johns Hopkins University,1
Texas A&M University,Washington State University,1
Texas A&M University,University of Illinois Urbana-Champaign,5
Texas A&M University,North Carolina State University,1
Texas A&M University,Georgia Tech,1
Texas A&M University,University of the Amazon,1
Harvard University,SRM Institute of Science and Technology,1
Harvard University,Massachusetts Institute of Technology,9
Harvard University,Harvard University,7
Harvard University,Holy Names University,1
Harvard University,"University of California, Berkeley",10
Harvard University,University of Pennsylvania,2
Harvard University,Nanjing University,1
Harvard University,University,1
Harvard University,Cornell University,4
Harvard University,University of Michigan,1
Harvard University,Princeton University,6
Harvard University,Northwestern University,3
Harvard University,Carnegie Mellon University,2
Harvard University,University of Massachusetts Lowell,1
Harvard University,Boston University,1
Harvard University,University of Colorado Boulder,1
Harvard University,Stanford University,9
