last_work,next_work,weight
University of Pittsburgh,University of Illinois Chicago,1
University of Pittsburgh,Northwestern University,1
University of Pittsburgh,Yonsei University,1
University of Pittsburgh,University of Pittsburgh,1
University of Pittsburgh,Carnegie Mellon University,2
University of Pittsburgh,Duke University,2
University of Pittsburgh,University of Southern California,1
University of Pittsburgh,Texas A&M University,1
University of Pittsburgh,University of Illinois Urbana-Champaign,1
University of Pittsburgh,New York University,1
University of Pittsburgh,Oregon State University,1
University of Pittsburgh,University of Tulsa,1
University of Illinois Chicago,University of Illinois Chicago,5
University of Illinois Chicago,University of Pennsylvania,1
University of Illinois Chicago,Lehigh University,1
University of Illinois Chicago,Princeton University,1
University of Illinois Chicago,DePaul University,1
University of Illinois Chicago,University of Chicago,1
University of Illinois Chicago,University of Illinois Urbana-Champaign,1
University of Illinois Chicago,New York University,1
University of Illinois Chicago,Aurora University,1
University of Illinois Chicago,American University of the Middle East,1
Lake Forest College,"University of California, Irvine",1
"University of California, Irvine",Loyola University Chicago,1
"University of California, Irvine","University of California, Irvine",12
"University of California, Irvine","University of California, Los Angeles",1
"University of California, Irvine",Cornell University,1
"University of California, Irvine",Sungkyunkwan University,1
"University of California, Irvine",University of Notre Dame,1
"University of California, Irvine","University of Maryland, College Park",1
"University of California, Irvine",Argosy University,1
"University of California, Irvine",University of Washington,2
"University of California, Irvine",American University,1
"University of California, Irvine",California Institute of Technology,2
"University of California, Irvine",University,2
"University of California, Irvine",University of Central Florida,1
"University of California, Irvine",University of the Amazon,1
"University of California, Irvine","University of California, Santa Barbara",1
"University of California, Irvine","University of California, Berkeley",1
"University of California, Irvine",Rochester Institute of Technology,1
"University of California, Irvine",École Polytechnique Fédérale de Lausanne,1
"University of California, Irvine",National Aviation University,1
"University of California, Irvine",Oregon Health & Science University,1
"University of California, Irvine","University of California, Riverside",1
"University of California, Irvine",University of California,1
Loyola University Chicago,University of Illinois Chicago,1
University of North Texas,University of North Texas,1
University of North Texas,University of Illinois Chicago,1
University of North Texas,Kansas State University,2
"University of Maryland, College Park","University of Maryland, College Park",10
