school,ranking,indegree,outdegree,in_to_out_ratio
Massachusetts Institute of Technology,1,179.00,119.00,1.50
University of California,2,0.00,1.00,0.00
Stanford University,3,107.00,85.00,1.26
Carnegie Mellon University,4,90.00,79.00,1.14
University of Michigan,5,33.00,19.00,1.74
University of Illinois Urbana-Champaign,6,87.00,70.00,1.24
University of Texas at Austin,7,45.00,32.00,1.41
Georgia Tech,8,52.00,40.00,1.30
Pennsylvania State University,9,24.00,9.00,2.67
Cornell University,10,50.00,35.00,1.43
University of Massachusetts Amherst,11,39.00,25.00,1.56
Columbia University,12,29.00,35.00,0.83
University of Washington,13,39.00,33.00,1.18
University of British Columbia,14,7.00,5.00,1.40
University of Wisconsin–Madison,15,36.00,23.00,1.57
KU Leuven,16,5.00,3.00,1.67
Harvard University,17,33.00,32.00,1.03
McGill University,18,6.00,2.00,3.00
Delft University of Technology,19,3.00,1.00,3.00
University of Pennsylvania,20,49.00,52.00,0.94
University of California,21,0.00,1.00,0.00
University of North Carolina at Chapel Hill,22,31.00,30.00,1.03
Newcastle University,23,3.00,1.00,3.00
Princeton University,24,36.00,33.00,1.09
North Carolina State University,25,30.00,29.00,1.03
Stony Brook University,26,28.00,31.00,0.90
Brown University,27,33.00,31.00,1.06
Rice University,28,17.00,12.00,1.42
University of Maryland,29,0.00,0.00,0.00
Purdue University,30,49.00,46.00,1.07
University of Minnesota,31,24.00,31.00,0.77
National Technical University of Athens,32,6.00,2.00,3.00
University of Southern California,33,39.00,36.00,1.08
KAIST,34,2.00,1.00,2.00
University of Notre Dame,35,6.00,5.00,1.20
Simon Fraser University,36,3.00,2.00,1.50
University of California,37,0.00,1.00,0.00
Ohio State University,38,22.00,9.00,2.44
University of California,39,0.00,1.00,0.00
University of California,40,0.00,1.00,0.00
Hebrew University of Jerusalem,41,7.00,4.00,1.75
Northwestern University,42,17.00,20.00,0.85
Johns Hopkins University,43,18.00,25.00,0.72
University of Virginia,44,17.00,10.00,1.70
Kansas State University,45,6.00,5.00,1.20
University of Bologna,46,1.00,2.00,0.50
Florida Atlantic University,47,1.00,1.00,1.00
Lancaster University,48,1.00,1.00,1.00
Ben-Gurion University of the Negev,49,1.00,1.00,1.00
National and Kapodistrian University of Athens,50,1.00,2.00,0.50
Utrecht University,51,1.00,1.00,1.00
Flinders University,52,1.00,1.00,1.00
KTH Royal Institute of Technology,53,2.00,2.00,1.00
University of Maryland,54,0.00,0.00,0.00
Portland State University,55,4.00,3.00,1.33
University of Bari,56,1.00,1.00,1.00
Savannah College of Art and Design,57,1.00,1.00,1.00
Rutgers University,58,20.00,18.00,1.11
Texas A&M University,59,13.00,9.00,1.44
University of Colorado Boulder,60,25.00,36.00,0.69
University of Waterloo,61,9.00,3.00,3.00
California Institute of Technology,62,19.00,23.00,0.83
Washington University in St. Louis,63,13.00,14.00,0.93
University of Toronto,64,13.00,7.00,1.86
University of California,65,0.00,1.00,0.00
Michigan State University,66,10.00,16.00,0.62
Yale University,67,14.00,13.00,1.08
University of Illinois Chicago,68,10.00,18.00,0.56
École Polytechnique Fédérale de Lausanne,69,8.00,11.00,0.73
New York University,70,18.00,24.00,0.75
Syracuse University,71,10.00,9.00,1.11
University of Utah,72,15.00,16.00,0.94
ETH Zurich,73,9.00,0.00,9.00
Brandeis University,74,5.00,5.00,1.00
Washington State University,75,6.00,9.00,0.67
University of Oxford,76,5.00,3.00,1.67
Imperial College London,77,5.00,2.00,2.50
University of Chicago,78,8.00,14.00,0.57
University at Buffalo,79,4.00,3.00,1.33
Vanderbilt University,80,13.00,22.00,0.59
University College London,81,3.00,2.00,1.50
University of Florida,82,14.00,17.00,0.82
University of Rochester,83,9.00,3.00,3.00
Dartmouth College,84,6.00,15.00,0.40
University of California,85,0.00,1.00,0.00
Case Western Reserve University,86,8.00,11.00,0.73
Arizona State University,87,16.00,19.00,0.84
Iowa State University,88,10.00,18.00,0.56
Lehigh University,89,5.00,6.00,0.83
University of New Mexico,90,6.00,6.00,1.00
Indian Institute of Science,91,4.00,5.00,0.80
Weizmann Institute of Science,92,5.00,4.00,1.25
University of North Carolina at Charlotte,93,6.00,7.00,0.86
University of Pittsburgh,94,10.00,9.00,1.11
Harvard Medical School,95,5.00,0.00,5.00
Duke University,96,12.00,23.00,0.52
University of Nebraska–Lincoln,97,11.00,20.00,0.55
Western New England University,98,1.00,0.00,1.00
Polytechnic University of Turin,99,2.00,2.00,1.00
