last_edu,next_edu,weight
Stony Brook University,Binghamton University,1
Stony Brook University,Zhejiang University,1
Stony Brook University,State University of New York,1
Stony Brook University,Peter the Great St. Petersburg Polytechnic University,1
Stony Brook University,Indian Institute of Science,1
Stony Brook University,IIT Delhi,1
"University of California, Los Angeles",Stony Brook University,1
"University of California, Los Angeles",Northwestern University,1
"University of California, Los Angeles","University of California, Los Angeles",3
"University of California, Los Angeles",Peking University,1
"University of California, Los Angeles",Ben-Gurion University of the Negev,1
"University of California, Los Angeles",Indian Institute of Technology (BHU) Varanasi,1
"University of California, Los Angeles",IIT Delhi,2
"University of California, Los Angeles",University of Science and Technology of China,1
"University of California, Los Angeles",University of Massachusetts Amherst,1
"University of California, Los Angeles",University of Pittsburgh,1
"California State University, Northridge","University of California, Los Angeles",2
UCLA Graduate School of Education and Information Studies,"California State University, Northridge",2
IIT Kanpur,Colvin Taluqdars' College,1
IIT Kanpur,"St. Peter's College, Agra",1
IIT Kanpur,Jadavpur University,1
"University of California, Berkeley",IIT Kanpur,2
"University of California, Berkeley",Stanford University,4
"University of California, Berkeley",Tsinghua University,2
"University of California, Berkeley",Stony Brook University,1
"University of California, Berkeley",University of Washington,1
"University of California, Berkeley","University of Maryland, College Park",2
"University of California, Berkeley",Princeton University,2
"University of California, Berkeley",University of Illinois Urbana-Champaign,3
"University of California, Berkeley",Massachusetts Institute of Technology,6
"University of California, Berkeley",Indian Institute of Science,1
"University of California, Berkeley",University of Waterloo,3
"University of California, Berkeley",Carnegie Mellon University,3
"University of California, Berkeley",Cornell University,2
"University of California, Berkeley","University of California, Berkeley",12
"University of California, Berkeley","University of California, San Diego",1
"University of California, Berkeley",University of Utah,1
"University of California, Berkeley",Harvard University,3
"University of California, Berkeley",University of Cambridge,2
"University of California, Berkeley",University of Liège,1
"University of California, Berkeley",Savitribai Phule Pune University,1
"University of California, Berkeley",University of Crete,1
"University of California, Berkeley",University of Leeds,1
"University of California, Berkeley",Sharif University of Technology,2
"University of California, Berkeley",University of Colorado Boulder,1
"University of California, Berkeley",Rensselaer Polytechnic Institute,1
"University of California, Berkeley",San Joaquin Delta College,1
"University of California, Berkeley",University of Zurich,1
"University of California, Berkeley",National Technical University of Athens,1
"University of California, Berkeley",IIT Madras,1
"University of California, Berkeley",Ohio State University,1
"University of California, Berkeley",IIT Kharagpur,1
"University of California, Berkeley",University of Delaware,1
"University of California, Berkeley",National Taiwan University,1
"University of California, Berkeley",Arizona State University,1
"University of California, Berkeley",University of St. Thomas (Minnesota),1
"University of California, Berkeley",University of Padua,1
"University of California, Berkeley",California Institute of Technology,1
"University of California, Berkeley",ETH Zurich,1
"University of California, Berkeley",Federal University of Minas Gerais,1
"University of California, Berkeley",Fudan University,1
"University of California, Berkeley",Cranfield University,1
"University of California, Berkeley",IIT Delhi,1
"University of California, Berkeley",Technical University of Kaiserslautern,1
University of Illinois Urbana-Champaign,Peking University,1
University of Illinois Urbana-Champaign,National Taiwan University,1
University of Illinois Urbana-Champaign,Tsinghua University,2
University of Illinois Urbana-Champaign,University College Cork,1
University of Illinois Urbana-Champaign,Technical University of Valencia,1
University of Illinois Urbana-Champaign,University of Science and Technology of China,1
University of Illinois Urbana-Champaign,Michigan State University,1
University of Illinois Urbana-Champaign,Massachusetts Institute of Technology,1
University of Illinois Urbana-Champaign,IIT Kanpur,1
University of Illinois Urbana-Champaign,Gjøvik University College,2
University of Illinois Urbana-Champaign,Hangzhou Foreign Languages School,1
University of Illinois Urbana-Champaign,IIT Bombay,1
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,7
University of Illinois Urbana-Champaign,Purdue University,2
University of Illinois Urbana-Champaign,Zhejiang University,1
University of Illinois Urbana-Champaign,University of Texas at Dallas,1
University of Illinois Urbana-Champaign,National University of Computer and Emerging Sciences,1
University of Illinois Urbana-Champaign,"University of California, Berkeley",1
University of Illinois Urbana-Champaign,University of Minnesota,1
University of Illinois Urbana-Champaign,Stanford University,1
University of Illinois Urbana-Champaign,IIT Madras,1
University of Illinois Urbana-Champaign,Haldia Institute of Technology,1
University of Illinois Urbana-Champaign,University of Colorado Boulder,1
University of Illinois Urbana-Champaign,Rensselaer Polytechnic Institute,1
University of Illinois Urbana-Champaign,Yale University,1
University of Illinois Urbana-Champaign,IIT Guwahati,1
University of Texas at Austin,IIT Madras,3
University of Texas at Austin,University of Utah,1
University of Texas at Austin,Tsinghua University,3
University of Texas at Austin,IIT Kanpur,2
University of Texas at Austin,University of Texas at San Antonio,1
University of Texas at Austin,University of Cambridge,1
University of Texas at Austin,University of Texas at Austin,1
University of Texas at Austin,"Birla Institute of Technology and Science, Pilani",1
University of Texas at Austin,University of Tübingen,1
University of Texas at Austin,University of Missouri,1
Boston University,University at Buffalo,1
Boston University,Harvey Mudd College,1
Boston University,University of Wisconsin–Madison,1
Massachusetts Institute of Technology,Boston University,1
Massachusetts Institute of Technology,"University of California, Irvine",1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,35
Massachusetts Institute of Technology,Evergreen State College,1
Massachusetts Institute of Technology,"University of California, Berkeley",4
Massachusetts Institute of Technology,University of Cambridge,5
Massachusetts Institute of Technology,University of Rochester,2
Massachusetts Institute of Technology,California Institute of Technology,2
Massachusetts Institute of Technology,Stanford University,11
Massachusetts Institute of Technology,Seoul National University,1
Massachusetts Institute of Technology,Carnegie Mellon University,1
Massachusetts Institute of Technology,The New School,1
Massachusetts Institute of Technology,Peking University,1
Massachusetts Institute of Technology,University of Michigan,1
Massachusetts Institute of Technology,"University of California, Los Angeles",1
Massachusetts Institute of Technology,University of Utah,1
Massachusetts Institute of Technology,Technion – Israel Institute of Technology,2
Massachusetts Institute of Technology,University of Pennsylvania,1
Massachusetts Institute of Technology,Harvard University,4
Massachusetts Institute of Technology,University of Illinois Urbana-Champaign,3
Massachusetts Institute of Technology,Tsinghua University,2
Massachusetts Institute of Technology,Amador Valley High School,1
Massachusetts Institute of Technology,IIT Bombay,1
Massachusetts Institute of Technology,IIT Delhi,2
Massachusetts Institute of Technology,Rice University,2
Massachusetts Institute of Technology,Indian Institute of Science,1
Massachusetts Institute of Technology,Cooper Union,1
Massachusetts Institute of Technology,Yale University,2
Massachusetts Institute of Technology,American University of Beirut,1
Massachusetts Institute of Technology,MIT Sloan School of Management,1
Massachusetts Institute of Technology,IIT Madras,2
Massachusetts Institute of Technology,University of Regina,1
Massachusetts Institute of Technology,Brown University,1
Massachusetts Institute of Technology,Johns Hopkins University,1
Massachusetts Institute of Technology,Michigan State University,1
Massachusetts Institute of Technology,University of Waterloo,1
Massachusetts Institute of Technology,University of Delaware,1
Massachusetts Institute of Technology,University of Michigan College of Engineering,1
Massachusetts Institute of Technology,Lincoln-Sudbury Regional High School,1
Massachusetts Institute of Technology,Belmont High School (Massachusetts),1
Massachusetts Institute of Technology,National Technical University of Athens,1
Massachusetts Institute of Technology,"University of Maryland, Baltimore County",1
Massachusetts Institute of Technology,Nanyang Technological University,1
Massachusetts Institute of Technology,University of Moratuwa,1
Massachusetts Institute of Technology,Berklee College of Music,1
Massachusetts Institute of Technology,KAIST,1
Massachusetts Institute of Technology,Smith College,1
Massachusetts Institute of Technology,"University of California, San Diego",1
Massachusetts Institute of Technology,Polytechnique Montréal,1
California Institute of Technology,University of Padua,1
California Institute of Technology,California Institute of Technology,2
California Institute of Technology,University of Illinois Urbana-Champaign,1
California Institute of Technology,Stanford University,1
California Institute of Technology,Palo Alto High School,1
California Institute of Technology,IIT Kharagpur,1
Ohio State University,East China Normal University,1
Ohio State University,IIT Kanpur,1
Ohio State University,Massachusetts Institute of Technology,1
Ohio State University,University of Electronic Science and Technology of China,1
National Taiwan University,National Taiwan University,1
University of Washington,KAIST,1
University of Washington,Massachusetts Institute of Technology,1
University of Washington,Cornell University,1
University of Washington,Colby College,1
University of Washington,University of Arizona,1
University of Washington,Pomona College,1
University of Washington,Tel Aviv University,1
University of Washington,University of Washington,2
University of Washington,Rice University,1
University of Washington,Tufts University,1
University of Washington,Sonoma State University,1
University of Washington,University of Texas at Austin,1
University of Washington,University of Illinois Urbana-Champaign,3
University of Washington,University of Chicago,1
University of Washington,University of Toledo,1
University of Washington,Case Western Reserve University,1
University of Washington,IIT Delhi,1
University of Washington,Harvard University,2
KU Leuven,KU Leuven,2
Stanford University,IIT Delhi,1
Stanford University,Tsinghua University,2
Stanford University,University of Washington,2
Stanford University,Stanford University,15
Stanford University,University of Colorado Boulder,1
Stanford University,National Technical University of Athens,1
Stanford University,Supélec,1
Stanford University,"University of California, Berkeley",4
Stanford University,"University of California, Los Angeles",1
Stanford University,Yale University,1
Stanford University,University of Erlangen–Nuremberg,1
Stanford University,Harvard University,5
Stanford University,Georgetown University,1
Stanford University,University of Virginia,1
Stanford University,Ghent University,1
Stanford University,Massachusetts Institute of Technology,4
Stanford University,IIT Kharagpur,1
Stanford University,Saratoga High School (California),1
Stanford University,Carnegie Mellon University,2
Stanford University,École Polytechnique,2
Stanford University,University of Oxford,2
Stanford University,University of Illinois Urbana-Champaign,1
Stanford University,IIT Bombay,4
Stanford University,Technion – Israel Institute of Technology,1
Stanford University,Slovak University of Technology in Bratislava,1
Stanford University,University of Amsterdam,1
Stanford University,Australian National University,1
Stanford University,IIT Kanpur,2
Stanford University,Brigham Young University,2
Stanford University,Colorado School of Mines,1
Stanford University,Cornell University,3
Stanford University,Flinders University,1
Stanford University,Sharif University of Technology,1
Stanford University,Brown University,1
Stanford University,University of Navarra,1
Stanford University,IIT Madras,1
Stanford University,Clarkson University,1
Stanford University,University of São Paulo,1
Stanford University,Seoul National University,1
Stanford University,Case Western Reserve University,1
Tsinghua University,Tsinghua University,5
Tsinghua University,High School Affiliated to Fudan University,1
Tsinghua University,Huazhong University of Science and Technology,1
Tsinghua University,"University of California, Berkeley",1
University of Bologna,University of Bologna,1
Columbia University,Columbia University,4
Columbia University,Duke University,1
Columbia University,Saarland University,1
Columbia University,Massachusetts Institute of Technology,1
Columbia University,University of Chicago,1
Columbia University,University of Pennsylvania,1
Columbia University,Fu Foundation School of Engineering and Applied Science,1
Columbia University,Carnegie Mellon University,1
Columbia University,Stony Brook University,2
Columbia University,Princeton University,1
Columbia University,Sharif University of Technology,1
University of Utah,Jadavpur University,1
University of Utah,Cornell University,1
IIT Bombay,Campion College,1
IIT Bombay,IIT Kharagpur,1
IIT Bombay,Kendriya Vidyalaya,2
IIT Bombay,IIT Bombay,1
University of Massachusetts Amherst,IIT Bombay,1
University of Massachusetts Amherst,University of Cincinnati,1
University of Massachusetts Amherst,Swarthmore College,1
University of Massachusetts Amherst,National and Kapodistrian University of Athens,1
University of Massachusetts Amherst,Aalto University,1
University of Massachusetts Amherst,University of Edinburgh,2
Carnegie Mellon University,"University of California, Berkeley",2
Carnegie Mellon University,Zhejiang University,1
Carnegie Mellon University,Maret School,1
Carnegie Mellon University,University of Rochester,1
Carnegie Mellon University,Carnegie Mellon University,7
Carnegie Mellon University,University of Wisconsin–Madison,1
Carnegie Mellon University,University of North Carolina at Chapel Hill,1
Carnegie Mellon University,Massachusetts Institute of Technology,2
Carnegie Mellon University,University of Richmond,1
Carnegie Mellon University,IIT Madras,2
Carnegie Mellon University,Princeton University,2
Carnegie Mellon University,Olin College,1
Carnegie Mellon University,University of Chicago,1
Carnegie Mellon University,Watchung Hills Regional High School,1
Carnegie Mellon University,Bilkent University,1
Carnegie Mellon University,Pennsylvania State University,1
