last_edu,first_work,weight
"University of California, Los Angeles","University of California, Berkeley",3
"University of California, Los Angeles",UCLA Graduate School of Education and Information Studies,2
"University of California, Los Angeles",University of Illinois Urbana-Champaign,1
"University of California, Los Angeles",University of Texas at Austin,1
"University of California, Los Angeles",Massachusetts Institute of Technology,2
"University of California, Los Angeles",California Institute of Technology,1
"University of California, Los Angeles",Aarhus University,1
"University of California, Los Angeles","University of California, Los Angeles",5
"University of California, Los Angeles",Boston University,1
University of North Carolina at Chapel Hill,"University of California, Los Angeles",1
University of North Carolina at Chapel Hill,"University of California, Berkeley",1
Azerbaijan State Oil and Industry University,"University of California, Berkeley",1
Ohio State University,Ohio State University,1
University of Virginia,University of Illinois Urbana-Champaign,1
University of Texas at Austin,University of Washington,1
University of Texas at Austin,University of Texas at Austin,4
University of Texas at Austin,Stony Brook University,1
University of Minnesota,University of Minnesota,1
KU Leuven,KU Leuven,1
Princeton University,University of Illinois Urbana-Champaign,2
Princeton University,Massachusetts Institute of Technology,5
Princeton University,University of Massachusetts Amherst,1
Princeton University,University of Pennsylvania,1
Princeton University,Princeton University,7
Princeton University,University of Texas at Austin,1
Princeton University,Brown University,1
Princeton University,Stanford University,2
Princeton University,University of Wisconsin–Madison,1
Princeton University,Yale University,1
Princeton University,"University of California, Berkeley",2
University of Bologna,University of Bologna,1
Columbia University,Stanford University,2
Columbia University,Columbia University,6
Columbia University,École normale supérieure (Paris),1
Columbia University,"University of California, Berkeley",1
Columbia University,University of Massachusetts Amherst,1
Columbia University,University of Pennsylvania,2
Columbia University,Yale University,1
Columbia University,University of Texas at Austin,1
Columbia University,Princeton University,2
Columbia University,University of Cambridge,1
Columbia University,Cornell University,2
"University of California, Berkeley",Carnegie Mellon University,3
"University of California, Berkeley","University of California, Berkeley",18
"University of California, Berkeley",Stanford University,9
"University of California, Berkeley",University of Texas at Austin,1
"University of California, Berkeley",Princeton University,1
"University of California, Berkeley",University of Southern California,1
"University of California, Berkeley",Free University of Berlin,1
"University of California, Berkeley",Georgia Tech,1
"University of California, Berkeley",Massachusetts Institute of Technology,6
"University of California, Berkeley",University of Wisconsin–Madison,1
"University of California, Berkeley",Washington University in St. Louis,1
"University of California, Berkeley",Stanford Graduate School of Business,1
"University of California, Berkeley",University of Toronto,1
"University of California, Berkeley",Gymnasium (Germany),1
"University of California, Berkeley","University of California, Irvine",1
"University of California, Berkeley","University of California, Los Angeles",1
"University of California, Berkeley",University of Washington,2
"University of California, Berkeley",Columbia University,1
"University of California, Berkeley",Max Planck Institute for Intelligent Systems,1
"University of California, Berkeley",Rice University,1
"University of California, Berkeley",Technical University of Košice,1
Rutgers University,"University of California, San Diego",1
Rutgers University,Stanford University,1
Rutgers University,"University of Maryland, College Park",1
Northwestern Health Sciences University,Columbia University,1
University of Cambridge,Imperial College London,1
University of Cambridge,Massachusetts Institute of Technology,1
University of Cambridge,University College London,1
Ohio University,Massachusetts Institute of Technology,1
Carnegie Mellon University,Carnegie Mellon University,17
Carnegie Mellon University,University of Toronto,1
Carnegie Mellon University,Massachusetts Institute of Technology,8
Carnegie Mellon University,"University of California, Berkeley",4
Carnegie Mellon University,University of Wisconsin–Madison,1
Carnegie Mellon University,University of Massachusetts Amherst,1
Carnegie Mellon University,Johannes Kepler University Linz,1
Carnegie Mellon University,Stanford University,5
Carnegie Mellon University,"University of California, Los Angeles",1
Carnegie Mellon University,Cornell University,2
Carnegie Mellon University,University of Texas at Austin,1
North Carolina A&T State University,University of Massachusetts Amherst,1
North Carolina A&T State University,"University of California, Berkeley",1
North Carolina A&T State University,University of Michigan,1
Stanford University,Cornell University,1
Stanford University,University of Texas at Austin,1
Stanford University,Stanford University,20
Stanford University,University of Pennsylvania,1
Stanford University,University of Erlangen–Nuremberg,1
Stanford University,Weizmann Institute of Science,1
Stanford University,"University of California, Berkeley",9
Stanford University,Massachusetts Institute of Technology,11
Stanford University,University of Edinburgh,1
