head_node,tail_node,weight
"University of California, Los Angeles","University of California, Berkeley",3
"University of California, Los Angeles",Stony Brook University,1
"University of California, Los Angeles",University of North Carolina at Chapel Hill,2
"University of California, Los Angeles","University of California, San Diego",1
"University of California, Los Angeles",UCLA Graduate School of Education and Information Studies,2
"University of California, Los Angeles",University,2
"University of California, Los Angeles",Pepperdine University,2
"University of California, Los Angeles",Azerbaijan State Oil and Industry University,1
"University of California, Los Angeles",University of Illinois Urbana-Champaign,1
"University of California, Los Angeles",University of Texas at Austin,2
"University of California, Los Angeles",Massachusetts Institute of Technology,3
"University of California, Los Angeles",California Institute of Technology,1
"University of California, Los Angeles","University of California, Irvine",1
"University of California, Los Angeles",University of Virginia,2
"University of California, Los Angeles",University of Wisconsin–Madison,1
"University of California, Los Angeles",Northeastern University,1
"University of California, Los Angeles",KU Leuven,1
"University of California, Los Angeles","University of California, Los Angeles",11
"University of California, Los Angeles",Aarhus University,1
"University of California, Los Angeles",University of Calcutta,1
"University of California, Los Angeles",University of Bologna,1
"University of California, Los Angeles",Northwestern University,1
"University of California, Los Angeles",Peking University,1
"University of California, Los Angeles",Ben-Gurion University of the Negev,1
"University of California, Los Angeles",Indian Institute of Technology (BHU) Varanasi,1
"University of California, Los Angeles",Boston University,1
"University of California, Los Angeles",Cornell University,1
"University of California, Los Angeles",IIT Delhi,2
"University of California, Los Angeles",University of Science and Technology of China,1
"University of California, Los Angeles",University of Pennsylvania,1
"University of California, Los Angeles",University of Massachusetts Amherst,1
"University of California, Los Angeles",University of Pittsburgh,1
Stony Brook University,Binghamton University,1
Stony Brook University,Zhejiang University,1
Stony Brook University,State University of New York,1
Stony Brook University,Carnegie Mellon University,2
Stony Brook University,Peter the Great St. Petersburg Polytechnic University,1
Stony Brook University,Indian Institute of Science,1
Stony Brook University,IIT Delhi,1
University of North Carolina at Chapel Hill,"University of California, Los Angeles",1
University of North Carolina at Chapel Hill,Simon Fraser University,1
University of North Carolina at Chapel Hill,Cornell University,1
University of North Carolina at Chapel Hill,Carnegie Mellon University,1
University of North Carolina at Chapel Hill,Florida State University,1
University of North Carolina at Chapel Hill,"University of California, Berkeley",1
"University of California, San Diego",Hebrew University of Jerusalem,1
"University of California, San Diego","University of California, Berkeley",1
"University of California, San Diego","University of California, San Diego",5
"University of California, San Diego",Peking University,1
"University of California, San Diego",Massachusetts Institute of Technology,2
"University of California, San Diego",Ain Shams University,1
"University of California, San Diego",University of Colorado Boulder,1
"University of California, San Diego",Purdue University,1
"California State University, Northridge","University of California, Los Angeles",2
UCLA Graduate School of Education and Information Studies,"California State University, Northridge",2
University,"University of California, Los Angeles",2
University,Columbia University,1
University,"University of California, Berkeley",1
University,Stanford University,1
Pepperdine University,"University of California, Los Angeles",2
IIT Kanpur,Colvin Taluqdars' College,1
IIT Kanpur,Paris Diderot University,1
IIT Kanpur,"St. Peter's College, Agra",1
IIT Kanpur,Jadavpur University,1
IIT Kanpur,Duke University,1
"University of California, Berkeley",IIT Kanpur,2
"University of California, Berkeley",Stanford University,20
"University of California, Berkeley",Carnegie Mellon University,9
"University of California, Berkeley",Tsinghua University,2
"University of California, Berkeley","University of California, Berkeley",38
"University of California, Berkeley",Stony Brook University,1
"University of California, Berkeley",University of Washington,3
"University of California, Berkeley","University of Maryland, College Park",3
"University of California, Berkeley",Princeton University,4
"University of California, Berkeley",Massachusetts Institute of Technology,23
"University of California, Berkeley",University of Illinois Urbana-Champaign,5
"University of California, Berkeley",University of Texas at Austin,3
"University of California, Berkeley",Brown University,1
"University of California, Berkeley",Indian Institute of Science,1
"University of California, Berkeley",University of Waterloo,3
"University of California, Berkeley",University of Notre Dame,1
"University of California, Berkeley",University of Southern California,2
"University of California, Berkeley",Thomas Jefferson University,1
"University of California, Berkeley",Free University of Berlin,1
"University of California, Berkeley",Park University,1
"University of California, Berkeley",Private university,1
"University of California, Berkeley",Harvard University,5
"University of California, Berkeley",Cornell University,5
"University of California, Berkeley",University of Wisconsin–Madison,3
"University of California, Berkeley",Georgia Tech,1
"University of California, Berkeley","University of California, San Diego",1
"University of California, Berkeley","University of California, Los Angeles",3
"University of California, Berkeley",University of Utah,1
"University of California, Berkeley",École normale supérieure (Paris),1
"University of California, Berkeley",University of Cambridge,2
"University of California, Berkeley",Washington University in St. Louis,1
"University of California, Berkeley",Stanford Graduate School of Business,1
"University of California, Berkeley",University of Toronto,1
"University of California, Berkeley",Gymnasium (Germany),1
"University of California, Berkeley",Leipzig University,2
"University of California, Berkeley",Denison University,1
"University of California, Berkeley",University of the Amazon,1
"University of California, Berkeley","University of California, Irvine",1
"University of California, Berkeley",University of Liège,1
"University of California, Berkeley",Savitribai Phule Pune University,1
"University of California, Berkeley",Hebrew University of Jerusalem,1
"University of California, Berkeley",University of Crete,1
"University of California, Berkeley",University of Leeds,1
"University of California, Berkeley",Sharif University of Technology,2
"University of California, Berkeley",University of Colorado Boulder,1
"University of California, Berkeley",Rensselaer Polytechnic Institute,1
"University of California, Berkeley",San Joaquin Delta College,1
"University of California, Berkeley",Duke University,1
"University of California, Berkeley",Columbia University,1
"University of California, Berkeley",Max Planck Institute for Intelligent Systems,1
"University of California, Berkeley",University of Zurich,1
"University of California, Berkeley",National Technical University of Athens,1
"University of California, Berkeley",IIT Madras,1
"University of California, Berkeley",Ohio State University,1
"University of California, Berkeley",Vanderbilt University,1
"University of California, Berkeley",IIT Kharagpur,1
"University of California, Berkeley",Rice University,1
"University of California, Berkeley",University of Iowa,1
"University of California, Berkeley",University of Delaware,1
"University of California, Berkeley",National Taiwan University,1
"University of California, Berkeley",Arizona State University,2
"University of California, Berkeley",University of St. Thomas (Minnesota),1
"University of California, Berkeley",University of Padua,1
"University of California, Berkeley",California Institute of Technology,1
"University of California, Berkeley",ETH Zurich,1
"University of California, Berkeley",Federal University of Minas Gerais,1
"University of California, Berkeley",Fudan University,1
"University of California, Berkeley",Cranfield University,1
"University of California, Berkeley",Phillips University,1
"University of California, Berkeley",IIT Delhi,1
"University of California, Berkeley",Technical University of Kaiserslautern,1
"University of California, Berkeley",Technical University of Košice,1
Azerbaijan State Oil and Industry University,"University of California, Berkeley",1
University of Illinois Urbana-Champaign,Peking University,1
University of Illinois Urbana-Champaign,National Taiwan University,1
University of Illinois Urbana-Champaign,Tsinghua University,2
University of Illinois Urbana-Champaign,University of Southern California,2
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,26
University of Illinois Urbana-Champaign,University College Cork,1
University of Illinois Urbana-Champaign,"University of California, Berkeley",10
University of Illinois Urbana-Champaign,Technical University of Valencia,1
University of Illinois Urbana-Champaign,University of Science and Technology of China,1
University of Illinois Urbana-Champaign,Michigan State University,1
University of Illinois Urbana-Champaign,Massachusetts Institute of Technology,10
University of Illinois Urbana-Champaign,IIT Kanpur,1
University of Illinois Urbana-Champaign,Gjøvik University College,2
University of Illinois Urbana-Champaign,SRM Institute of Science and Technology,2
University of Illinois Urbana-Champaign,California Institute of Technology,1
University of Illinois Urbana-Champaign,Harvard University,1
University of Illinois Urbana-Champaign,Hangzhou Foreign Languages School,1
University of Illinois Urbana-Champaign,IIT Bombay,1
University of Illinois Urbana-Champaign,Purdue University,2
University of Illinois Urbana-Champaign,Zhejiang University,1
University of Illinois Urbana-Champaign,Palo Alto University,1
University of Illinois Urbana-Champaign,Pennsylvania State University,2
University of Illinois Urbana-Champaign,University of Wisconsin–Madison,3
University of Illinois Urbana-Champaign,"University of California, Los Angeles",3
University of Illinois Urbana-Champaign,University of Virginia,1
University of Illinois Urbana-Champaign,University at Buffalo,1
University of Illinois Urbana-Champaign,Brown University,2
University of Illinois Urbana-Champaign,University of Texas at Dallas,1
University of Illinois Urbana-Champaign,Texas A&M University,3
University of Illinois Urbana-Champaign,University of Illinois College of Law,1
University of Illinois Urbana-Champaign,Georgia Tech,3
University of Illinois Urbana-Champaign,Stanford University,6
University of Illinois Urbana-Champaign,Lancaster University,1
University of Illinois Urbana-Champaign,University of Nottingham,1
University of Illinois Urbana-Champaign,National University of Computer and Emerging Sciences,1
